n_estimators,max_depth,min_samples_leaf,min_samples_split,bootstrap,MAE,MSE,year,ws_1,temp_2,temp_1,average
200,3,1,2,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3,1,2,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3,1,2,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3,1,5,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3,1,5,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3,1,5,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3,1,10,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3,1,10,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3,1,10,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3,2,2,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3,2,2,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3,2,2,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3,2,5,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3,2,5,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3,2,5,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3,2,10,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3,2,10,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3,2,10,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3,4,2,True,3.732278793965588,23.372130447022457,0.0,0.00037109065705535823,0.0,0.9625157998349503,0.037113109507994416
400,3,4,2,True,3.728503142224816,23.3437941312785,0.0,0.0002808471007395825,0.0,0.9681302072304147,0.03158894566884563
600,3,4,2,True,3.7239375242424906,23.281237226022643,0.0,0.00025917501108353307,0.0,0.9625471580121431,0.03719366697677332
200,3,4,5,True,3.732278793965588,23.372130447022457,0.0,0.00037109065705535823,0.0,0.9625157998349503,0.037113109507994416
400,3,4,5,True,3.728503142224816,23.3437941312785,0.0,0.0002808471007395825,0.0,0.9681302072304147,0.03158894566884563
600,3,4,5,True,3.7239375242424906,23.281237226022643,0.0,0.00025917501108353307,0.0,0.9625471580121431,0.03719366697677332
200,3,4,10,True,3.732278793965588,23.372130447022457,0.0,0.00037109065705535823,0.0,0.9625157998349503,0.037113109507994416
400,3,4,10,True,3.728503142224816,23.3437941312785,0.0,0.0002808471007395825,0.0,0.9681302072304147,0.03158894566884563
600,3,4,10,True,3.7239375242424906,23.281237226022643,0.0,0.00025917501108353307,0.0,0.9625471580121431,0.03719366697677332
200,4,1,2,True,3.6678276570239596,21.975814530595695,0.00018615399634097917,0.0038161468516290853,0.0005219678096247518,0.9450771181808834,0.05039861316152171
400,4,1,2,True,3.6627685156245606,21.94940380823461,0.0001946672996437344,0.003608204471947011,0.0004263401855351953,0.9504235529183107,0.045347235124563186
600,4,1,2,True,3.653516441158197,21.855595308237955,0.00022056694291734864,0.003591925523354982,0.00039803993928815934,0.9451152626938051,0.0506742049006344
200,4,1,5,True,3.667665704469215,21.96904705568967,0.00018615399634097917,0.0038161848590136807,0.0005126707328292259,0.945090994501059,0.050393995910756974
400,4,1,5,True,3.6626875393471883,21.946297537038504,0.0001946672996437344,0.003608223475639308,0.0004216916471374323,0.9504304910783986,0.045344926499180815
600,4,1,5,True,3.653453767366052,21.853055180756396,0.0002205669429173486,0.0035919506395846743,0.0003949409136896506,0.9451229381785449,0.05066960332526345
200,4,1,10,True,3.667260300870381,21.96068801897354,0.0001861539963409792,0.0037964801063199464,0.0005126791017223126,0.9451100645869691,0.05039462220864764
400,4,1,10,True,3.662474294157666,21.941852760439186,0.0001946672996437344,0.0035983710992924405,0.0004216958315839756,0.9504411979776037,0.045344067791876046
600,4,1,10,True,3.6533254674505713,21.85056408613287,0.00022056694291734864,0.003582886547316277,0.00039494662226652815,0.9451324650342748,0.05066913485322509
200,4,2,2,True,3.66806556819622,21.97916578064796,0.00020288001290387004,0.0038380850446459633,0.0005084071579808177,0.9451534825305985,0.050297145253870884
400,4,2,2,True,3.6620751064045596,21.94787866189203,0.00020990650185420535,0.0036210703601360535,0.0004124044396179495,0.9505204579175043,0.04523616078088748
600,4,2,2,True,3.65333713358797,21.85880322939354,0.00024214753584275462,0.0036007505684761488,0.00038908908962852174,0.9451909194742157,0.05057709333183687
200,4,2,5,True,3.66795455846386,21.978463531914702,0.00020288001290387004,0.003838101382182545,0.0005084071579808177,0.94515339688109,0.050297214565842734
400,4,2,5,True,3.66201960153838,21.947503563010507,0.00020990650185420535,0.003621078528904344,0.0004124044396179495,0.9505204150927501,0.045236195436873405
