n_estimators,max_depth,min_samples_leaf,min_samples_split,bootstrap,MAE,MSE,year,ws_1,temp_2,temp_1,average
200,3.0,1,2,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3.0,1,2,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3.0,1,2,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3.0,1,5,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3.0,1,5,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3.0,1,5,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3.0,1,10,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3.0,1,10,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3.0,1,10,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3.0,2,2,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3.0,2,2,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3.0,2,2,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3.0,2,5,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3.0,2,5,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3.0,2,5,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3.0,2,10,True,3.732238508068669,23.37041357725701,0.0,0.00037109065705535823,0.0,0.9625136006375715,0.03711530870537311
400,3.0,2,10,True,3.7284829992763564,23.342930046320998,0.0,0.0002808471007395825,0.0,0.9681291076317254,0.03159004526753498
600,3.0,2,10,True,3.723924095610184,23.280676533610453,0.0,0.00025917501108353307,0.0,0.9625464249463502,0.03719440004256622
200,3.0,4,2,True,3.732278793965588,23.372130447022457,0.0,0.00037109065705535823,0.0,0.9625157998349503,0.037113109507994416
400,3.0,4,2,True,3.728503142224816,23.3437941312785,0.0,0.0002808471007395825,0.0,0.9681302072304147,0.03158894566884563
600,3.0,4,2,True,3.7239375242424906,23.281237226022643,0.0,0.00025917501108353307,0.0,0.9625471580121431,0.03719366697677332
200,3.0,4,5,True,3.732278793965588,23.372130447022457,0.0,0.00037109065705535823,0.0,0.9625157998349503,0.037113109507994416
400,3.0,4,5,True,3.728503142224816,23.3437941312785,0.0,0.0002808471007395825,0.0,0.9681302072304147,0.03158894566884563
600,3.0,4,5,True,3.7239375242424906,23.281237226022643,0.0,0.00025917501108353307,0.0,0.9625471580121431,0.03719366697677332
200,3.0,4,10,True,3.732278793965588,23.372130447022457,0.0,0.00037109065705535823,0.0,0.9625157998349503,0.037113109507994416
400,3.0,4,10,True,3.728503142224816,23.3437941312785,0.0,0.0002808471007395825,0.0,0.9681302072304147,0.03158894566884563
600,3.0,4,10,True,3.7239375242424906,23.281237226022643,0.0,0.00025917501108353307,0.0,0.9625471580121431,0.03719366697677332
200,5.0,1,2,True,3.6785876708202077,22.044550437457502,0.0018253539105182457,0.008741719141735523,0.0027915342147936343,0.9293609543343555,0.05728043839859716
400,5.0,1,2,True,3.673482522936252,21.97366370189116,0.0017122760674866718,0.008704898930036729,0.002843509028310232,0.9344470704517994,0.05229224552236686
600,5.0,1,2,True,3.6704948109396662,21.91912058818833,0.0017690491765804883,0.008580679993348968,0.002827344349591857,0.9292144782174124,0.05760844826306626
200,5.0,1,5,True,3.6764477493821572,21.988475822555003,0.0018148084010167656,0.008697428576434818,0.002773139887659609,0.9294727478003988,0.05724187533449004
400,5.0,1,5,True,3.671886631619927,21.9320189923622,0.001691533950917544,0.008676525189446005,0.002817932606311359,0.9345847007655123,0.05222930748781277
600,5.0,1,5,True,3.669418175448321,21.888165802071857,0.001748824346011859,0.008556181685221683,0.0028076504294133743,0.9293424638459784,0.05754487969337456
200,5.0,1,10,True,3.675088048116776,21.942871403510186,0.0017690123802901446,0.008561298011726661,0.0027091772115517836,0.9298075930193885,0.057152919377042886
400,5.0,1,10,True,3.670388948489425,21.901059254626336,0.0016571398740703495,0.00855832214831706,0.002741765468986152,0.9348927772606774,0.05214999524794882
600,5.0,1,10,True,3.6685523391553914,21.866640954727913,0.0017066360864893472,0.008448043006689424,0.0027358847230039033,0.929637649633688,0.05747178655012935
200,5.0,2,2,True,3.6726676355006194,21.93610086737907,0.0018233679813227529,0.008583346990247744,0.0027469265269460985,0.9297438369737117,0.05710252152777162
400,5.0,2,2,True,3.6697830870036503,21.903693595199115,0.0017476757612274096,0.008599666938018403,0.002741552224585559,0.9348548134461707,0.052056291629997906
600,5.0,2,2,True,3.668004384658487,21.86809058026129,0.0018181659746760897,0.00845868810973545,0.0027444815434832797,0.9295979198947286,0.057380744477376705
200,5.0,2,5,True,3.672066306780678,21.92646711944111,0.0018131702967906082,0.008583925652230035,0.0027438807420367296,0.9297560399275925,0.05710298338135012
400,5.0,2,5,True,3.6691601106288485,21.89110143635625,0.0017358905736664459,0.008594698178233807,0.0027385109976120164,0.9348736082313671,0.052057292019120543
600,5.0,2,5,True,3.6675114242277984,21.857286247921337,0.0018063286851441667,0.008451257019283816,0.002737748666380523,0.9296278730775248,0.05737679255166674
200,5.0,2,10,True,3.6718422058546185,21.908368691400778,0.0017645663011011173,0.008521492645768196,0.002674689018705313,0.9300335126723918,0.0570057393620336
400,5.0,2,10,True,3.668141788584997,21.875357995176152,0.0016911205055238398,0.008518923864089109,0.0026593764215123955,0.9351490614003442,0.05198151780853042
600,5.0,2,10,True,3.6668716783702027,21.84591545742462,0.0017482469421853672,0.008382948205271464,0.0026669413046428044,0.9298914004148077,0.05731046313309276
200,5.0,4,2,True,3.665857534246261,21.85077223600025,0.0018405878900814956,0.00832091562878838,0.0024690775315144597,0.9306682636259356,0.056701155323680245
400,5.0,4,2,True,3.6585056908971363,21.78378939640315,0.0017768641614882604,0.008307168554481515,0.00252823905862281,0.9358023846571498,0.05158534356825759
600,5.0,4,2,True,3.6585172323624735,21.761046199788563,0.001827511025165647,0.008228499153724827,0.0025036471506266656,0.9305233035101704,0.056917039160312474
200,5.0,4,5,True,3.665857534246261,21.85077223600025,0.0018405878900814956,0.00832091562878838,0.0024690775315144597,0.9306682636259356,0.056701155323680245
